district,year,population
Alor Gajah,2020,997.6
Alor Gajah,2021,1003.6
Alor Gajah,2022,1007.2
Alor Gajah,2023,1024.3
Asajaya,2020,134.8
Asajaya,2021,135.0
Asajaya,2022,136.7
Asajaya,2023,138.1
Bachok,2020,629.1
Bachok,2021,635.5
Bachok,2022,642.8
Bachok,2023,652.0
Bagan Datuk,2020,331.3
Bagan Datuk,2021,334.4
Bagan Datuk,2022,329.2
Bagan Datuk,2023,331.3
Baling,2020,570.2
Baling,2021,577.3
Baling,2022,579.9
Baling,2023,586.3
Bandar Baharu,2020,177.6
Bandar Baharu,2021,178.0
Bandar Baharu,2022,178.7
Bandar Baharu,2023,180.3
Barat Daya,2020,950.8
Barat Daya,2021,953.9
Barat Daya,2022,958.4
Barat Daya,2023,975.5
Batang Padang,2020,496.2
Batang Padang,2021,505.1
Batang Padang,2022,502.6
Batang Padang,2023,505.0
Batu Pahat,2020,1981.6
Batu Pahat,2021,1988.7
Batu Pahat,2022,1990.0
Batu Pahat,2023,2013.9
Bau,2020,210.3
Bau,2021,211.5
Bau,2022,212.2
Bau,2023,214.2
Beaufort,2020,303.0
Beaufort,2021,305.6
Beaufort,2022,304.4
Beaufort,2023,308.1
Belaga,2020,90.1
Belaga,2021,91.1
Belaga,2022,90.3
Belaga,2023,91.9
Beluran,2020,308.6
Beluran,2021,321.9
Beluran,2022,305.0
Beluran,2023,335.2
Beluru,2020,114.8
Beluru,2021,117.3
Beluru,2022,112.0
Beluru,2023,113.6
Bentong,2020,467.4
Bentong,2021,462.8
Bentong,2022,467.0
Bentong,2023,478.1
Bera,2020,392.9
Bera,2021,392.3
Bera,2022,395.6
Bera,2023,400.2
Besut,2020,616.6
Besut,2021,626.8
Besut,2022,637.3
Besut,2023,650.4
Betong,2020,145.1
Betong,2021,145.0
Betong,2022,145.9
Betong,2023,147.1
Bintulu,2020,714.2
Bintulu,2021,707.8
Bintulu,2022,718.3
Bintulu,2023,746.1
Bukit Mabong,2020,40.5
Bukit Mabong,2021,40.8
Bukit Mabong,2022,41.3
Bukit Mabong,2023,41.9
Cameron Highlands,2020,156.3
Cameron Highlands,2021,154.6
Cameron Highlands,2022,157.2
Cameron Highlands,2023,163.3
Dalat,2020,85.0
Dalat,2021,84.6
Dalat,2022,84.9
Dalat,2023,87.2
Daro,2020,77.8
Daro,2021,78.5
Daro,2022,78.0
Daro,2023,80.3
Dungun,2020,632.4
Dungun,2021,642.8
Dungun,2022,650.2
Dungun,2023,660.9
Gombak,2020,3769.4
Gombak,2021,3792.1
Gombak,2022,3801.2
Gombak,2023,3862.4
Gua Musang,2020,407.8
Gua Musang,2021,410.4
Gua Musang,2022,416.3
Gua Musang,2023,428.4
Hilir Perak,2020,567.8
Hilir Perak,2021,580.2
Hilir Perak,2022,569.0
Hilir Perak,2023,567.2
Hulu Perak,2020,380.2
Hulu Perak,2021,381.6
Hulu Perak,2022,383.5
Hulu Perak,2023,388.3
Hulu Terengganu,2020,279.5
